"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"1054","3409","Medford Area",2013-04-02,5830000,"Issue Debt",1144,1570,"Failed","constructing a new pool at the middle school; converting the high school pool to a gym facility; various construction, remodeling and replacement projects at the high school building and site; and acquiring equipment, furnishing and fixtures.",1
"1055","3409","Medford Area",1999-04-06,52841,"RR",1363,2107,"Failed","exceed rev cap, 99-00, recurring; costs of field house",1
"1056","3409","Medford Area",1999-04-06,2900000,"Issue Debt",1474,2016,"Failed","add performance hall to high school; equipment",1
"1057","3409","Medford Area",1999-04-06,3169099,"Issue Debt",1532,1969,"Failed","add field house to high school",1
"1058","3409","Medford Area",1999-04-06,6368880,"Issue Debt",2351,1168,"Passed","raze part of m.s; add to & equip middle school",1
"1059","3409","Medford Area",1994-10-11,2520000,"Issue Debt",972,1409,"Failed","8 classroom addition",1
"1060","3409","Medford Area",1996-03-19,1937184,"Issue Debt",1435,1281,"Passed","hs add & remod",1
"1061","3427","Mellen",2000-11-07,350000,"Issue Debt",760,197,"Passed","replace heating boilers and upgrade steam heating system to hot water system",1
"1062","3428","Melrose-Mindoro",2011-02-15,1275000,"RR - 2011",525,298,"Passed","recurring referenda to maintain the current level of operations and provision of educational services to the students of the district",1
"1063","3428","Melrose-Mindoro",2016-11-08,24700000,"Issue Debt",1154,955,"Passed","Building & improvements to create a consolidated campus at high school site.",1
"1064","3428","Melrose-Mindoro",1997-11-04,4395000,"Issue Debt",484,151,"Passed","add to & remodel facilities; new bus garage",1
"1065","3428","Melrose-Mindoro",2000-06-13,940000,"RR - 2000",532,178,"Passed","maintain current operations; improve programs, unplanned maintenance",1
"1066","3430","Menasha",2013-04-02,29995000,"Issue Debt",2858,1046,"Passed","constructing academic additions and a secure main entrance, as well as renovating existing academic areas at Menasha High School; undertaking other improvements, including energy efficiency, safety and security upgrades, technology infrastructure upgrades, heating and cooling system improvements, roof and other basic building replacements and asbestos abatement; completing site work; acquiring adjacent property to Menasha High School; and acquiring furniture, fixtures and equipment.",1
"1067","3430","Menasha",2014-04-01,360000,"RR - 2014",923,1023,"Failed","Maintain elementary world language program",1
"1068","3430","Menasha",2022-11-08,99700000,"Issue Debt",5912,3024,"Passed","For the public purpose of paying the cost of a school building and facility
improvement project consisting of: the construction of a new Maplewood School on the existing
site and removal of the current building; site improvements; and acquisition of furnishings,
fixtures and equipment.",1
"1069","3430","Menasha",1998-04-07,5500000,"Issue Debt",2313,607,"Passed","improve facilities and technology upgrades",1
"1070","3430","Menasha",2001-04-03,16175000,"Issue Debt",2401,1214,"Passed","improving facilities and sites; replacing Clovis Grove Elem. School",1
"1071","3434","Menominee Indian",1997-11-04,7300000,"Issue Debt",285,256,"Passed","add to and renovate elementary schools",1
"1072","3437","Menomonee Falls",2005-04-05,19340000,"Issue Debt",3339,3909,"Failed","capital improvements at seven district facilities",1
"1073","3437","Menomonee Falls",2006-11-07,4900000,"Issue Debt",9020,4277,"Passed","various remodeling, renovation and improvement projects at Benjamin Franklin, Riverside, Shady Lane, and Valley View Elemetary Schools and Thomas Jefferson Middle School",1
"1074","3437","Menomonee Falls",1994-09-13,4600000,"Issue Debt",3259,1496,"Passed","remod",1
"1075","3437","Menomonee Falls",1999-04-06,10250000,"Issue Debt",3948,1637,"Passed","remodeling at North Jr. High; equip. & furnishings",1
"1076","3437","Menomonee Falls",2004-02-17,19815000,"Issue Debt",3882,5526,"Failed","new elementary school, remodel/maintenance/improvements at 4 other schools",1
"1077","3444","Menomonie Area",2007-05-15,2655000,"NR - 2007",1263,2459,"Failed","maintaining instructional services and programs",1
"1078","3444","Menomonie Area",2013-04-02,2.5e+07,"Issue Debt",2342,1363,"Passed","Site improvements, repair, maintenance and replacement upgrades at all District buildings, and acquiring furnishings, fixtures, and equipment.",1
"1079","3444","Menomonie Area",2013-04-02,1.1e+07,"Issue Debt",2156,1575,"Passed","Additional construction and improvement projects at the High School and River Heights Elementary School.",1
"1080","3444","Menomonie Area",1998-12-05,8900000,"Issue Debt",1741,689,"Passed","add to & remodel high school",1
"1081","3444","Menomonie Area",1994-04-05,11300000,"Issue Debt",2000,2488,"Failed","new MS, add & remod HS",1
"1082","3444","Menomonie Area",1995-12-02,3800000,"Issue Debt",2284,1800,"Passed","Q 2: new elem",1
"1083","3444","Menomonie Area",1995-12-02,13500000,"Issue Debt",2417,1721,"Passed","Q 1: new ms, & remod hs",1
"1084","3479","Mequon-Thiensville",2015-04-07,18200000,"Issue Debt",4553,2924,"Passed","Remodeling & renovations at all district buildings.",1
"1085","3479","Mequon-Thiensville",2020-04-07,55700000,"Issue Debt",6166,4492,"Passed","Referendum for the purpose of paying the cost of a District-wide school facilities imporvement project consisting of:  District-wide safety, security, site and ADA improvements and renovations; construction of additions at the Elementary and Middle Schools and acquisitions of furnishings, fixtures and equipment.",1
"1086","3479","Mequon-Thiensville",1998-06-02,2.8e+07,"Issue Debt",3108,2156,"Passed","renovation project at high school",1
"1087","3484","Mercer",2008-11-04,1750000,"NR - 2009",710,302,"Passed","maintain District educational programs, technology, and facilities",1
"1088","3484","Mercer",2013-02-19,650000,"RR - 2013",430,230,"Passed","Annually maintaining educational programs, technology, and facilities",1
"1089","3484","Mercer",2023-04-04,2235000,"NR - 2023",365,393,"Failed","A nonrecurring levy to support operations, programs and facilities of the Mercer School District.",1
"1090","3484","Mercer",2002-04-02,625000,"NR",172,258,"Failed","maintain educational programs and facilities",1
"1091","3484","Mercer",2002-04-02,3e+05,"Issue Debt",264,179,"Passed","replace existing boiler heating plant at K-12 building with an energy efficient unit and replacement of steam heating portion with the hot water system along with asbestos removal from piping and related improvements",1
"1092","3484","Mercer",2002-11-05,420000,"NR",501,315,"Passed","maintain educational programs and facilities",1
"1093","3500","Merrill Area",1995-02-21,7600000,"Issue Debt",1161,3812,"Failed","new elem, hs renov",1
"1094","3500","Merrill Area",1996-09-10,29700000,"Issue Debt",3333,1957,"Passed","new elementary, remodel & additions to ms & hs",1
"1095","3500","Merrill Area",2001-11-13,8500000,"Issue Debt",825,1783,"Failed","construct addition, remodeling, maintaining, equipping elementary schools  including updating existing facilities and replace and add new classrooms, computer labs, IMCs, provide handicapped access, demolish portions of existing facilities and improve sites",1
"1096","3528","Merton Community",2001-04-03,4060000,"Issue Debt",526,370,"Passed","acquire land, demolition, addition to Merton primary school and Merton intermediate school; furnishings, fixtures, equipment",1
"1097","3528","Merton Community",2008-11-04,3e+06,"Issue Debt",2055,1374,"Passed","renovating, remodeling, improving and maintaining school buildings and grounds; upgrading technology infrastructure and the telephone systems; and acquiring and installing related fixtures and equipment; and making replacements",1
"1098","3549","Middleton-Cross Plains",1995-04-04,18500000,"Issue Debt",2683,5159,"Failed","Q2: new hs & land purchace",1
"1099","3549","Middleton-Cross Plains",1995-04-04,18400000,"Issue Debt",4507,3430,"Passed","Q1: new elem & ms, & hs imprv",1
"1100","3549","Middleton-Cross Plains",1999-10-05,35950000,"Issue Debt",3099,4200,"Failed","construct/equip addition & new alternative h.s., kitchen",1
"1101","3549","Middleton-Cross Plains",1999-10-05,4e+05,"RR",3112,4173,"Failed","add'l operating costs due to construction project",1
"1102","3549","Middleton-Cross Plains",1999-10-05,1900000,"RR - 2002",3112,4173,"Failed","add'l operating costs due to construction project",1
"1103","3549","Middleton-Cross Plains",2000-05-23,30900000,"Issue Debt",4260,3893,"Passed","construction and equipping of additions and improvements to HS, construct/equip new alternative HS, central prep kitchen; construct/improve athletic/phy ed field and facilities",1
"1104","3549","Middleton-Cross Plains",2000-05-23,860000,"Issue Debt",4087,4050,"Passed","construct add'tl seating capacity in proposed larger group instruction addition to the existing HS",1
"1105","3549","Middleton-Cross Plains",2000-05-23,1068000,"Issue Debt",3797,4338,"Failed","construct additional phy ed stations in proposed fieldhouse/multipurpose addition to existing HS",1
"1106","3549","Middleton-Cross Plains",2005-10-11,36475000,"Issue Debt",2515,4753,"Failed","Construction and equipping of a new shared elementary and middle school, and site acquisition",1
"1107","3549","Middleton-Cross Plains",2005-10-11,5800000,"Issue Debt",2510,4754,"Failed","New Transportation Center",1
"1108","3549","Middleton-Cross Plains",2005-10-11,3098000,"RR - 2006",2298,4967,"Failed","Capital maintenance projects and transportation center - $800,000
New school operating costs - $2,298,000",1
"1109","3549","Middleton-Cross Plains",2005-10-11,8325000,"Issue Debt",3737,3521,"Passed","Construction of additions to three elementary schools, and mechanical system replacement at two elementary schools",1
"1110","3549","Middleton-Cross Plains",2008-04-01,3900000,"Issue Debt",4131,2306,"Passed","New Transportation Center",1
"1111","3549","Middleton-Cross Plains",2009-04-07,34750000,"Issue Debt",4766,5677,"Failed","New Elementary, additions at Glacier Creek Middle School and Park Elementary School and safety and security improvements",1
"1112","3549","Middleton-Cross Plains",2009-04-07,1975000,"RR - 2009",4693,5726,"Failed","Funding for instructional materials and instructional technology and operating expenses for new elementary school",1
"1113","3549","Middleton-Cross Plains",2009-04-07,33980000,"Issue Debt",5008,5425,"Failed","Remodeling, rebuilding and equipping Kromrey Middle School",1
"1114","3549","Middleton-Cross Plains",2012-11-06,59860000,"Issue Debt",14797,6848,"Passed","Construction, partial remodeling, and equipping of Kromrey Middle School as well as construction of an addition to and the remodeling and equipping of Glacier Creek Middle School",1
"1115","3549","Middleton-Cross Plains",2012-11-06,797000,"RR - 2014",13881,7953,"Passed","recurring purposes consisting of operating expenses resulting from the addition to Glacier Creek Middle School and the construction of Kromrey Middle School",1
"1116","3549","Middleton-Cross Plains",2018-11-06,138900000,"Issue Debt",15928,6968,"Passed","construction and equipping of a new elementary; construction and equipping of an addition, remodel, demolition, and reconstruction at Middleton High School; construction and equipping of a new cafeteria at Park Elementary School; and remodel of the current Clark Street Community School for use as an early learning center",1
